aspect,sentence
"room, cleanliness",the room was very comfortable and we felt like we were home.
location,the pool was great and the nice touch of wine tasting from 5 to 7 was a nice bonus.
location,it's within walking distance to old town so the location is fantastic.
service,this hotel was a good deal so i decided to give it a try.
location,the hotel is in old town so the decor is designed to blend into the neighborhood which was kind of charming.
"value, location","overall this was a great value, i would stay here again."
value,"i would not, however pay full price due to the following factors: 1. the bathtub caulking was starting to mold - this is a carnal sin in the hospitality industry."
service,not good.
"room, cleanliness",otherwise the bathtub was clean so i wish that they had gotten that detail.
cleanliness,2. the mattress was not as comfortable as it should be for a marriott hotel.
business service,3. the free coffee in the lobby was cold and only decaf was available.
location,great staff and location.
business service,free airport pick up and cruise transportation to port of san diego.
location,within walking distance to old town and trolley station.
location,"we wanted to stay close to downtown san diego so after our celebratory night out and dinner show, we stayed at the old town courtyard."
value,"saturday night, so parking in the building for the fee was worth it."
room,we were upgraded to a suite which was a slightly strange one (window out to enclosed patio - could not see out or get out that way) and two pictures had been taken off the wall leaving holes.
"room, cleanliness","but it was still a courtyard, very clean and comfortable (especially the bed)."
room,"our room was on the north end of the building, fourth floor, so very quiet; a few jets from airport in the morning."
"service, cleanliness, location",we walked two blocks into town for breakfast... all in all a comfortable stay....
location,the location is great for walking to things in old town and for easily getting onto the interstate to drive elsewhere.
cleanliness,the lobby was very comfortable and rooms were fine.
checkin,the staff were very accommodating and helpful.
value,we ate pizza out one night and had lots of leftovers which we kept in our in-room frig.
service,next day lunch the staff said we could eat in the closed breakfast restaurant and we heated the pizza in the lobby microwave.
location,we settled for the courtyard in the old town and what a lucky choice.
location,firstly the old town with a vibrant night life is three minutes walk.
cleanliness,the rooms were up to the standard you would expect from this chain but a lot cheaper than downtown.
checkin,staff very friendly and helpful.
cleanliness,"it is in the middle of major building work, it is dirty, dusty, much of the main area is under construction as is much of the accommodation area, and the lift is being used by the contractors so it's dirty."
cleanliness,the parts of the hotel that aren't under construction are tired.
service,courtyard is not a brand i use regularly but ive always had good experiences.
checkin,"the staff were courteous, they must be having a terrible time."
"service, checkin","i made a reservation for this hotel in july 2011. i had stayed at the hotel several times in the past few years and while it had not been updated to the new marriott courtyard standards, the property was ""ok"" and the service always excellent."
checkin,i happened to check on the hotel website a week or so prior to our new year's weekend arrival and discovered that the hotel was undergoing a major renovation.
location,"great for the hotel, bad for me."
room,arrived at our suite (had been upgraded due to marriott rewards status.
"room, cleanliness",the room had a strong mold/mildew smell.
room,my wife opened the drapes to see outside and discovered the room darkening shade was covered with mold.
"room, service",this room should not have been in service.
cleanliness,they obviously don't actually inspect the rooms for potential health issues.
